,user_id,condition,post_num,user_type,rec_mean_interactions,rec_median_interactions,rec_popularity_lift,rec_jensen_shannon,rec_head_ratio,rec_mid_ratio,rec_tail_ratio,prof_mean_interactions,prof_median_interactions,prof_num_interactions,prof_head_ratio,prof_mid_ratio,prof_tail_ratio,time_spent,choice_mean_interactions,choice_median_interactions,choice_popularity_lift,choice_jensen_shannon,choice_head_ratio,choice_mid_ratio,choice_tail_ratio,Q_MusicalSophistication,Q_MusicalEngagement,Q_Perceived_Popularity,Q_PerceivedFairness,Q_Discovery,Q_Familiarity,Q_PerceivedRecommendationQuality,Q_RecommendationSatisfaction,Q_ChoiceSatisfaction,Q_PerceivedSystemEffectiveness,Q_OpennessSimilarRecommendations,Q_UseIntention,Q_ChoiceListeningIntention
38,D3SW55DCFH,cp,0,Niche,649.92,487.0,0.1524734702073188,0.0029762253825772,0.12,0.64,0.24,563.934890304317,153.0,1413,0.1068648266100495,0.5966029723991507,0.2965322009907997,425,753.0,467.0,0.33526052908990517,0.16934576182268551,0.2,0.8,0.0,-0.7777777777777777,-0.2222222222222222,-0.6000000000000001,0.3333333333333333,1.2000000000000002,0.6000000000000001,1.2857142857142854,0.7142857142857142,0.75,0.42857142857142855,1.0,1.0,1.0
39,606AAQAJU6,base,2,Diverse,903.64,926.0,-0.0060635085183373,0.2990087736205792,0.04,0.96,0.0,909.1526548672566,105.0,1356,0.1674041297935103,0.4387905604719764,0.3938053097345133,298,844.6,959.0,-0.07100309779844595,0.3616920021953802,0.0,1.0,0.0,-0.8333333333333333,-1.1111111111111112,0.6000000000000001,0.3333333333333333,1.0,0.2,0.857142857142857,-0.14285714285714285,0.625,0.7142857142857142,1.0,1.0,1.0
40,D3SW55DCFH,fair,1,Niche,104.12,49.0,-0.8153687565885247,0.3352796324697059,0.0,0.08,0.92,563.934890304317,153.0,1413,0.1068648266100495,0.5966029723991507,0.2965322009907997,206,217.0,108.0,-0.6152038050298679,0.05899983846521536,0.0,0.6,0.4,-0.7777777777777777,-0.2222222222222222,-0.6000000000000001,-0.3333333333333333,0.6000000000000001,-0.6000000000000001,0.0,-0.7142857142857142,-0.25,0.5714285714285714,1.0,1.0,-1.0
41,D3SW55DCFH,base,2,Niche,719.88,610.0,0.2765303448622057,0.1747280594552704,0.08,0.92,0.0,563.934890304317,153.0,1413,0.1068648266100495,0.5966029723991507,0.2965322009907997,132,774.4,610.0,0.373208172280508,0.16934576182268551,0.2,0.8,0.0,-0.7777777777777777,-0.2222222222222222,0.2,0.3333333333333333,1.0,-0.2,0.857142857142857,0.9999999999999998,1.0,1.1428571428571428,1.0,1.0,1.0
42,WFNW44VV09,fair,0,Diverse,62.16,47.0,-0.9085070922628212,0.2149012161379606,0.0,0.08,0.92,679.396923076923,82.0,325,0.1353846153846153,0.4123076923076923,0.4523076923076923,134,95.4,47.0,-0.8595813481639826,0.07526050315764732,0.0,0.4,0.6,0.7777777777777779,0.4444444444444445,1.2000000000000002,-1.3333333333333333,1.0,-1.0,1.0,1.1428571428571428,0.875,0.9999999999999998,1.4,1.3333333333333333,1.5
43,VIUZHWXV9T,base,0,Niche,452.64,321.0,-0.1897759143052781,0.2100716764753722,0.08,0.92,0.0,558.6602620087336,122.0,1145,0.1126637554585152,0.5423580786026201,0.3449781659388646,302,505.8,201.0,-0.09461969215184174,0.2785416559287406,0.0,1.0,0.0,1.6111111111111112,1.7777777777777781,-0.4,0.3333333333333333,1.0,0.4,2.142857142857143,1.4285714285714284,1.875,1.714285714285714,1.7999999999999998,1.6666666666666665,2.5
44,WFNW44VV09,base,1,Diverse,387.44,249.0,-0.4297295338852556,0.3269938170792758,0.04,0.96,0.0,679.396923076923,82.0,325,0.1353846153846153,0.4123076923076923,0.4523076923076923,125,323.2,277.0,-0.5242839803626745,0.38478946376169354,0.0,1.0,0.0,0.7777777777777779,0.4444444444444445,-0.2,0.3333333333333333,1.4,-0.4,1.7142857142857142,0.5714285714285714,1.125,1.4285714285714284,1.6,1.3333333333333333,1.0
45,VIUZHWXV9T,fair,1,Niche,78.68,48.0,-0.8591630632236198,0.293120131610241,0.0,0.08,0.92,558.6602620087336,122.0,1145,0.1126637554585152,0.5423580786026201,0.3449781659388646,188,48.2,48.0,-0.9137221612529038,0.4476113046676792,0.0,0.0,1.0,1.6111111111111112,1.7777777777777781,-0.8,-0.3333333333333333,1.4,0.0,1.2857142857142856,0.14285714285714285,0.75,0.9999999999999998,0.8,1.3333333333333333,1.5
46,WFNW44VV09,cp,2,Diverse,357.72,144.0,-0.4734742124236879,0.0033469798498688,0.12,0.48,0.4,679.396923076923,82.0,325,0.1353846153846153,0.4123076923076923,0.4523076923076923,50,155.2,134.0,-0.7715621093820764,0.38478946376169354,0.0,1.0,0.0,0.7777777777777779,0.4444444444444445,1.4,-1.6666666666666667,1.7999999999999998,0.4,1.5714285714285712,1.714285714285714,1.125,1.2857142857142856,1.0,1.0,1.0
47,PCM06WWBZD,cp,0,Niche,353.72,191.0,0.2032537444706004,0.0019537080664384,0.04,0.56,0.4,293.96958174904944,69.0,789,0.0430925221799746,0.5082382762991128,0.4486692015209125,369,263.4,146.0,-0.1039889282665495,0.025296845515798333,0.0,0.6,0.4,2.7755575615628914e-17,0.5555555555555556,0.2,0.3333333333333333,0.6000000000000001,-0.2,-0.42857142857142855,-0.42857142857142855,-0.375,-0.7142857142857142,1.0,-1.0,0.0
